timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
194076259;473242430;387756233;36873;0.82600003;0.94600004;0.59;0.84999996;96;19;30.851723;0.1;1.696026
194086451;473242430;387756233;36858;0.827;0.947;0.59;0.84999996;96;19;30.851723;0.1;1.6962607
194186355;473242430;387756233;36858;0.827;0.947;0.59;0.84999996;96;19;30.558426;0.1;1.6981175
194286197;473242430;387756233;36858;0.827;0.947;0.59;0.84999996;96;19;30.558426;0.1;1.6987449
194386075;473242430;387756232;36844;0.827;0.947;0.59;0.84999996;96;19;30.682615;0.1;1.6996285
194486046;473242430;387756232;36844;0.827;0.947;0.59;0.84999996;96;19;30.682615;0.1;1.7008505
194585876;473242430;387756232;36844;0.827;0.947;0.59;0.84999996;96;19;30.661476;0.1;1.7021912
194685675;473242430;387756232;36844;0.827;0.947;0.59;0.84999996;96;19;30.661476;0.1;1.7033323
194776089;473242431;387756231;36836;0.82800007;0.9480001;0.59;0.84999996;96;19;30.682615;0.1;1.7043872
194885604;473242431;387756231;36836;0.82800007;0.9480001;0.59;0.84999996;96;19;30.682615;0.1;1.7053332
194985641;473242431;387756231;36836;0.82800007;0.9480001;0.59;0.84999996;96;19;30.600702;0.1;1.7060796
195085516;473242431;387756231;36836;0.82800007;0.9480001;0.59;0.84999996;96;19;30.600702;0.1;1.7057275
195185293;473242431;387756231;36836;0.82800007;0.9480001;0.59;0.84999996;96;19;30.640337;0.1;1.7052423
195285403;473242432;387756231;36821;0.83000004;0.94900006;0.59;0.84999996;96;19;30.640337;0.1;1.7042683
195385300;473242432;387756231;36821;0.83000004;0.94900006;0.59;0.84999996;96;19;30.452734;0.1;1.703522
195485213;473242432;387756231;36821;0.83000004;0.94900006;0.59;0.84999996;96;19;30.452734;0.1;1.7034285
195585433;473242432;387756231;36821;0.83000004;0.94900006;0.59;0.84999996;96;19;30.410456;0.1;1.7035351
195685000;473242432;387756231;36821;0.83000004;0.94900006;0.59;0.84999996;96;19;30.410456;0.1;1.7043653
195785078;473242433;387756230;36813;0.83000004;0.95000005;0.59;0.84999996;96;19;30.558426;0.1;1.7047784
195884717;473242433;387756230;36813;0.83000004;0.95000005;0.59;0.84999996;96;19;30.558426;0.1;1.7040261
195984777;473242433;387756230;36813;0.83000004;0.95000005;0.59;0.84999996;96;19;30.703754;0.1;1.7038631
196084745;473242433;387756230;36813;0.83000004;0.95000005;0.59;0.84999996;96;19;30.703754;0.1;1.7043698
196184426;473242433;387756230;36813;0.83000004;0.95000005;0.59;0.84999996;96;19;30.452734;0.1;1.7039516
196284373;473242433;387756227;36816;0.83100003;0.95100003;0.59;0.84999996;96;19;30.452734;0.100640655;1.701566
196384476;473242433;387756227;36816;0.83100003;0.95100003;0.59;0.84999996;96;19;30.849081;0.104570866;1.6976358
196484200;473242433;387756227;36816;0.83100003;0.95100003;0.59;0.84999996;96;19;30.849081;0.107975125;1.6942315
196584200;473242433;387756227;36816;0.83100003;0.95100003;0.59;0.84999996;96;19;30.6192;0.110865355;1.6913413
196684139;473242433;387756227;36816;0.83100003;0.95100003;0.59;0.84999996;96;19;30.6192;0.11363852;1.6885681
